"","osmid","lat","lon","id","missing_neighbors","downtown","demand","supply"
"1603",42436957,40.7277545,-73.9761797,1603,FALSE,TRUE,0,0
"1604",42436968,40.7288513,-74.0052872,1604,FALSE,TRUE,0,0
"1605",42436971,40.7107814,-73.9837964,1605,FALSE,TRUE,0,0
"1606",42436974,40.7112964,-73.9839123,1606,FALSE,TRUE,0,0
"1607",42436985,40.7915736,-73.9684954,1607,FALSE,FALSE,0,0
"1608",42436990,40.7927633,-73.9713214,1608,FALSE,FALSE,0,0
"1609",42437005,40.794825,-73.9762395,1609,FALSE,FALSE,0,0
"1610",42437018,40.7359584,-73.9893863,1610,FALSE,TRUE,0,0
"1611",42437021,40.7365293,-73.9889596,1611,FALSE,TRUE,0,0
"1612",42437050,40.7890588,-73.9703363,1612,FALSE,FALSE,0,0
"1613",42437052,40.7902424,-73.9731431,1613,FALSE,FALSE,0,0
"1614",42437058,40.792175,-73.9776753,1614,FALSE,FALSE,0,0
"1615",42437067,40.7185765,-73.9833967,1615,FALSE,TRUE,0,0
"1616",42437071,40.7188259,-73.9842294,1616,FALSE,TRUE,0,0
"1617",42437074,40.7190825,-73.9850756,1617,FALSE,TRUE,0,0
"1618",42437078,40.7193368,-73.9859139,1618,FALSE,TRUE,0,0
"1619",42437082,40.7195914,-73.9867535,1619,FALSE,TRUE,0,0
"1620",42437084,40.7198312,-73.9875441,1620,FALSE,TRUE,0,0
"1621",42437096,40.7200786,-73.9883599,1621,FALSE,TRUE,0,0
"1622",42437106,40.7203066,-73.9891119,1622,FALSE,TRUE,0,0
"1623",42437108,40.7204582,-73.9896132,1623,FALSE,TRUE,0,0
"1624",42437109,40.7205303,-73.9898501,1624,FALSE,TRUE,0,0
"1625",42437111,40.7210302,-73.9914809,1625,FALSE,TRUE,237,0
"1626",42437113,40.721248,-73.992237,1626,FALSE,TRUE,0,0
"1627",42437114,40.7216409,-73.9935815,1627,FALSE,TRUE,0,0
"1628",42437118,40.7175542,-73.9799952,1628,FALSE,TRUE,0,0
"1629",42437124,40.7120791,-73.9969425,1629,FALSE,TRUE,0,0
"1630",42437135,40.7092114,-73.9962351,1630,FALSE,TRUE,14,0
"1631",42437142,40.8068316,-73.9610565,1631,FALSE,FALSE,0,0
"1632",42437174,40.800665,-73.946462,1632,FALSE,FALSE,0,0
"1633",42437177,40.8020112,-73.9496071,1633,FALSE,FALSE,0,0
"1634",42437188,40.8050312,-73.9568268,1634,FALSE,FALSE,0,0
"1635",42437196,40.8056136,-73.958191,1635,FALSE,FALSE,0,0
"1636",42437201,40.7981256,-73.9483211,1636,FALSE,FALSE,0,0
"1637",42437204,40.7994476,-73.951484,1637,FALSE,FALSE,0,0
"1638",42437211,40.8006953,-73.9544809,1638,FALSE,FALSE,0,0
"1639",42437218,40.802473,-73.9586898,1639,FALSE,FALSE,0,0
"1640",42437222,40.8042605,-73.9629314,1640,FALSE,FALSE,0,0
"1641",42437223,40.806127,-73.967373,1641,FALSE,FALSE,0,0
"1642",42437280,40.7371225,-73.9885174,1642,FALSE,TRUE,0,0
"1643",42437283,40.7357911,-73.985362,1643,FALSE,TRUE,0,0
"1644",42437287,40.7348458,-73.9831222,1644,FALSE,TRUE,0,0
"1645",42437289,40.7338271,-73.9807369,1645,FALSE,TRUE,0,0
"1646",42437300,40.7845451,-73.9736127,1646,FALSE,FALSE,0,0
"1647",42437305,40.7857321,-73.9764355,1647,FALSE,FALSE,0,0
"1648",42437312,40.7876839,-73.9811521,1648,FALSE,FALSE,0,0
"1649",42437316,40.837193,-73.936691,1649,FALSE,FALSE,0,0
"1650",42437319,40.8378835,-73.9383539,1650,FALSE,FALSE,0,0
"1651",42437324,40.8410394,-73.9447121,1651,FALSE,FALSE,0,0
"1652",42437326,40.838696,-73.9396803,1652,FALSE,FALSE,0,0
"1653",42437333,40.7255809,-73.9898675,1653,FALSE,TRUE,0,0
"1654",42437339,40.724584,-73.987502,1654,FALSE,TRUE,0,0
"1655",42437343,40.7236472,-73.9852818,1655,FALSE,TRUE,0,0
"1656",42437346,40.722671,-73.982964,1656,FALSE,TRUE,0,34
"1657",42437349,40.7216783,-73.9806076,1657,FALSE,TRUE,0,0
"1658",42437354,40.720674,-73.978231,1658,FALSE,TRUE,0,0
"1659",42437358,40.7534805,-73.9808792,1659,FALSE,TRUE,0,0
"1660",42437363,40.7560361,-73.9869489,1660,FALSE,TRUE,0,0
"1661",42437368,40.7584326,-73.9926458,1661,FALSE,TRUE,0,0
"1662",42437371,40.7596264,-73.9954726,1662,FALSE,TRUE,0,0
"1663",42437379,40.7620557,-74.0013069,1663,FALSE,TRUE,0,0
"1664",42437384,40.7767307,-73.9793024,1664,FALSE,FALSE,0,0
"1665",42437396,40.7098267,-74.0147403,1665,FALSE,TRUE,0,0
"1666",42437401,40.7100903,-74.0163736,1666,FALSE,TRUE,0,0
"1667",42437410,40.7103644,-74.0175611,1667,FALSE,TRUE,0,0
"1668",42437423,40.7692758,-73.9693618,1668,FALSE,TRUE,0,0
"1669",42437425,40.7686004,-73.9677557,1669,FALSE,TRUE,0,0
"1670",42437428,40.7678888,-73.9660657,1670,FALSE,TRUE,0,0
"1671",42437433,40.7672413,-73.9645312,1671,FALSE,TRUE,190,0
"1672",42437436,40.7665573,-73.9629303,1672,FALSE,TRUE,0,0
"1673",42437445,40.765613,-73.9606918,1673,FALSE,FALSE,0,0
"1674",42437451,40.7646145,-73.9583002,1674,FALSE,FALSE,0,0
"1675",42437481,40.7109439,-73.9919871,1675,FALSE,TRUE,0,0
"1676",42437503,40.7115328,-73.9867498,1676,FALSE,TRUE,0,0
"1677",42437505,40.7116864,-73.9848078,1677,FALSE,TRUE,0,0
"1678",42437529,40.737332,-73.985387,1678,FALSE,TRUE,0,0
"1679",42437530,40.737913,-73.9849697,1679,FALSE,TRUE,0,0
"1680",42437536,40.7051688,-74.0099816,1680,FALSE,TRUE,0,73
"1681",42437559,40.7139962,-73.9974922,1681,FALSE,TRUE,0,0
"1682",42437564,40.7150162,-73.996737,1682,FALSE,TRUE,0,0
"1683",42437580,40.7172802,-73.9954278,1683,FALSE,TRUE,24,0
"1684",42437589,40.718459,-73.9947975,1684,FALSE,TRUE,173,0
"1685",42437605,40.7209726,-73.993848,1685,FALSE,TRUE,0,0
"1686",42437608,40.7223715,-73.993317,1686,FALSE,TRUE,0,0
"1687",42437612,40.7242393,-73.9926626,1687,FALSE,TRUE,0,0
"1688",42437613,40.7249031,-73.9924145,1688,FALSE,TRUE,0,0
"1689",42437618,40.7256648,-73.9921298,1689,FALSE,TRUE,0,0
"1690",42437644,40.7484355,-73.984557,1690,FALSE,TRUE,0,0
"1691",42437654,40.7510092,-73.9906121,1691,FALSE,TRUE,0,0
"1692",42437663,40.7534078,-73.9963175,1692,FALSE,TRUE,0,0
"1693",42437670,40.754591,-73.9991485,1693,FALSE,TRUE,0,0
"1694",42437678,40.7569713,-74.0048008,1694,FALSE,TRUE,0,23
"1695",42437686,40.7459215,-73.9863915,1695,FALSE,TRUE,0,0
"1696",42437688,40.7509001,-73.9981551,1696,FALSE,TRUE,0,0
"1697",42437693,40.7520747,-74.0009801,1697,FALSE,TRUE,0,0
"1698",42437699,40.7544608,-74.0066337,1698,FALSE,TRUE,0,0
"1699",42437749,40.7117846,-73.9997105,1699,FALSE,TRUE,0,0
"1700",42437753,40.711879,-73.9986817,1700,FALSE,TRUE,0,0
"1701",42437755,40.7123181,-73.9943532,1701,FALSE,TRUE,0,0
"1702",42437763,40.7126536,-73.9900158,1702,FALSE,TRUE,0,0
"1703",42437768,40.7127817,-73.9884924,1703,FALSE,TRUE,0,0
"1704",42437770,40.7129093,-73.9869665,1704,FALSE,TRUE,0,0
"1705",42437773,40.7130902,-73.9850592,1705,FALSE,TRUE,0,0
"1706",42437786,40.7138456,-73.979532,1706,FALSE,TRUE,0,0
"1707",42437801,40.8134646,-73.9393193,1707,FALSE,FALSE,0,0
"1708",42437819,40.7076167,-74.017462,1708,FALSE,TRUE,0,0
"1709",42437830,40.7297718,-73.9747295,1709,FALSE,TRUE,0,0
"1710",42437841,40.7778454,-73.9877555,1710,FALSE,FALSE,0,0
"1711",42437845,40.7781959,-73.98858,1711,FALSE,FALSE,0,0
"1712",42437881,40.7415506,-73.9895966,1712,FALSE,TRUE,0,0
"1713",42437890,40.7441065,-73.9956382,1713,FALSE,TRUE,0,0
"1714",42437909,40.7465235,-74.0013543,1714,FALSE,TRUE,0,0
"1715",42437914,40.7477028,-74.0041638,1715,FALSE,TRUE,0,0
"1716",42437916,40.7979763,-73.96197,1716,FALSE,FALSE,0,0
"1717",42437917,40.7985681,-73.9633705,1717,FALSE,FALSE,0,0
"1718",42437918,40.799756,-73.9661916,1718,FALSE,FALSE,0,0
"1719",42437920,40.80159,-73.970545,1719,FALSE,FALSE,0,0
"1720",42437921,40.8653705,-73.9243885,1720,FALSE,FALSE,0,0
"1721",42437923,40.8660653,-73.9224988,1721,FALSE,FALSE,0,0
"1722",42437925,40.867275,-73.919215,1722,FALSE,FALSE,0,0
"1723",42437926,40.867584,-73.918414,1723,FALSE,FALSE,0,0
"1724",42437929,40.8120554,-73.9359818,1724,FALSE,FALSE,0,0
"1725",42437942,40.854976,-73.927781,1725,FALSE,FALSE,0,0
"1726",42437944,40.856077,-73.9304068,1726,FALSE,FALSE,0,0
"1727",42437949,40.7322515,-73.9963626,1727,FALSE,TRUE,0,254
"1728",42437951,40.732946,-73.997987,1728,FALSE,TRUE,0,0
"1729",42437962,40.717351,-73.9911718,1729,FALSE,TRUE,0,0
"1730",42437965,40.7161764,-73.991792,1730,FALSE,TRUE,48,0
"1731",42437967,40.7150484,-73.9923757,1731,FALSE,TRUE,0,0
