0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
21.0,1049.3439999999998,6990.497999999999,5912.173000000001,6089.065,3079.146,3549.6959999999995,4236.398999999999,1655.998,3320.8869999999997,5905.307999999999,6007.292999999999,2670.868,7483.697000000002,5189.038,5055.757,5360.217999999999,4614.204,1670.1660000000002,6667.677999999998,4608.102999999998,6209.760999999999,7352.474,1681.703,4575.093,2424.211,4835.066,3596.195999999999,3727.8139999999985,4921.355999999999,2747.178999999999,4536.9929999999995,8042.161999999998,2845.6520000000005,5625.724999999999,6357.896999999999,2772.8489999999997,1587.502,1656.7769999999998,3459.7900000000004,7046.351999999998,7231.602999999998,6442.861999999999,6417.73,4477.973000000001,5731.812,5221.447999999999,4765.298999999998,2606.158,5954.168999999999,2317.1349999999998
22.0,4715.96,3351.3489999999993,2393.5209999999997,2990.289,5537.717999999999,2475.1150000000002,548.8309999999999,2989.7819999999997,901.246,2217.7400000000002,2346.9,3980.676,3972.8740000000003,1528.645,1395.364,1672.65,1546.335,4756.483,3568.9019999999996,1058.0099999999998,2522.1929999999998,3941.1699999999996,3121.283,887.5250000000001,2129.629,1147.498,496.988,865.5949999999999,1371.263,5183.064,2823.9570000000003,4405.142999999999,2416.2619999999997,1965.3319999999999,3259.121,5197.979,2550.9869999999996,5449.092,5918.362,3947.576,3961.8289999999997,2755.2940000000003,2730.1620000000003,2764.317,2213.1600000000003,3125.503,1104.906,5064.7300000000005,2266.601,2022.5529999999999
23.0,4453.3330000000005,3658.373999999999,2696.5209999999997,3223.5379999999996,5716.135999999999,2653.5329999999994,855.856,3168.2,605.252,2524.765000000001,2653.9249999999997,4159.093999999999,4275.873999999999,1835.67,1702.3890000000001,2075.068,1724.753,4934.901,3802.1509999999994,1305.2179999999998,2829.218,4188.378,2858.656000000001,1194.55,1867.002,1454.5230000000001,675.406,569.6009999999999,1618.471,5361.482,3002.375,4712.168,2594.68,2272.357,3492.37,5376.397000000001,2288.3599999999997,5186.465,6096.78,4180.825,4209.037,3062.319,3037.187,2942.735,2516.16,3303.921,1411.931,5243.148000000001,2573.6259999999997,1759.926
24.0,5456.611000000001,2678.2129999999997,2007.4199999999996,3023.9429999999998,5264.649,2054.875,751.902,3332.3229999999994,1668.6669999999997,1544.604,1703.536,3560.4359999999997,3469.9629999999997,939.78,778.2950000000001,1120.1170000000002,1126.095,5497.134000000001,3287.224,1408.455,1849.057,3558.7219999999993,3861.9340000000007,323.16,2870.28,457.173,1237.639,1686.0549999999998,1600.464,4762.823999999999,2300.881,3732.006999999999,2137.6409999999996,1463.126,3292.774999999999,4681.85,3291.6380000000004,6189.742999999999,5645.292999999999,3643.5739999999996,3579.381,2082.1579999999994,2057.0260000000003,2241.241,1827.0590000000002,2578.969,1057.28,4788.250999999999,1593.4650000000001,2763.2039999999997
25.0,6046.780999999999,2258.1850000000004,779.7059999999999,1796.2289999999998,6644.538999999999,3128.955,1515.768,4625.666999999999,2198.7000000000003,1316.391,857.535,4634.5160000000005,2317.678,447.59,609.308,1878.532,2200.1749999999997,6392.367999999999,2059.5099999999993,992.053,2163.9199999999996,2331.0079999999994,4452.104,1703.05,3460.45,1222.9759999999999,2132.8729999999996,2066.335,806.011,5836.904,3364.4519999999998,2881.218,3517.531,324.18,2065.0609999999997,5745.420999999999,3881.807999999999,6779.913,6885.831999999998,2415.8599999999997,2351.6669999999995,2033.9779999999996,1317.6260000000002,3304.8120000000004,599.345,3541.5419999999995,1014.751,6028.169,1599.077,3353.3739999999993
26.0,4864.649,3206.7369999999996,2248.9089999999997,3105.6110000000003,5557.63,2487.9970000000003,404.21899999999994,3216.6969999999997,1016.568,2073.1279999999997,2202.2879999999996,3993.558,3828.262,1384.033,1250.752,1681.8460000000002,1559.2169999999999,4983.398,3528.7130000000006,1173.332,2377.581,3800.211,3269.972,742.913,2278.3179999999998,1002.886,723.903,980.9169999999999,1486.585,5195.946,2836.839,4260.531,2430.622,1820.7199999999998,3374.4429999999993,5210.861,2699.676,5597.781,5938.273999999999,3885.063,3820.8700000000003,2610.6820000000002,2585.55,2777.199,2068.548,3138.3849999999998,960.2939999999999,5081.232,2121.989,2171.2419999999997
27.0,2739.9060000000004,5107.6759999999995,5130.404,6576.595999999999,2161.23,1847.1349999999998,3734.9679999999994,876.0419999999999,4096.864,4288.1179999999995,4514.798,788.0459999999999,6248.881000000002,4549.062999999998,4353.969999999999,3691.7069999999994,2911.6430000000005,2539.7709999999997,6818.148,4585.8369999999995,4592.570999999999,6850.3150000000005,3091.005,3718.2989999999995,2834.403,4066.456,3368.1029999999996,4309.817999999999,4899.089999999999,1338.7649999999999,2654.171,6159.339999999999,1602.6139999999996,4856.174,6845.427999999999,1362.657,2921.755,3259.113,2058.973,7174.498,7110.305,4825.671999999999,4800.539999999998,2604.7419999999997,5329.3820000000005,3338.6259999999993,4291.043,1201.3099999999997,4336.978999999999,3016.455999999999
28.0,5407.129000000001,3192.557,1292.9920000000002,1705.317,6856.203999999999,3786.5710000000004,1707.543,4496.417999999999,1845.6549999999997,2252.7099999999996,1793.8539999999998,5292.132,2872.3449999999993,1383.9089999999999,1405.0710000000001,2674.2949999999996,2857.791,6195.370000000001,2283.93,751.547,2959.683,2784.8489999999997,3812.452,1914.715,3119.1769999999997,1719.2350000000001,2003.6239999999998,1285.1709999999998,476.83299999999997,6494.5199999999995,4135.4130000000005,3779.665,3729.196,1257.086,1974.149,6509.434999999999,3540.535,6140.260999999999,7236.847999999999,2662.6040000000003,2805.5079999999994,2904.6229999999996,2253.9449999999997,4075.7730000000006,1112.631,4337.304999999999,1084.4180000000001,6379.806,2394.84,3012.1009999999997
29.0,8244.563999999998,1167.301,2069.1490000000003,3052.0769999999998,8171.446999999999,4525.418999999999,3520.5879999999993,6239.120999999999,4396.482999999999,1911.5419999999997,1939.133,5502.513999999998,1225.2259999999999,2654.942,2769.2320000000004,2597.1159999999995,3430.2629999999995,8454.912999999999,2690.6419999999994,3280.9920000000006,2033.0209999999997,2150.7019999999998,6649.886999999998,3399.187,5658.232999999999,3225.8589999999995,4311.3369999999995,4355.273999999999,3094.9500000000003,6709.56,3938.2889999999993,1555.342,5044.4389999999985,2212.422,3063.8229999999994,6464.004999999998,6079.590999999999,8977.695999999998,8139.447999999999,2925.7319999999995,2861.5389999999993,1949.0930000000003,1398.216,4023.396,2165.9910000000004,3104.7129999999997,3179.154,7281.784999999998,1877.0020000000002,5551.156999999999
30.0,4622.700000000001,3417.866,2021.5320000000002,2198.4240000000004,6096.128000000001,3026.4950000000003,973.823,3711.988999999999,1061.226,2218.2549999999997,2261.015,4532.0560000000005,3593.0559999999996,1442.7599999999998,1309.4789999999998,2220.344,2097.7149999999997,5410.941000000002,2777.0370000000003,777.142,2864.0909999999994,3461.8329999999996,3028.023,1312.5170000000003,2334.748,1572.49,1219.195,500.74199999999996,1090.395,5734.444000000001,3375.337,4436.484999999999,2969.12,1879.4469999999997,2467.2560000000003,5749.359,2756.1059999999998,5355.831999999999,6476.772,3155.7110000000002,3340.9619999999995,2809.0309999999995,2733.4659999999994,3315.6970000000006,1841.1710000000003,3676.8829999999994,1019.021,5619.73,2299.248,2227.672
