0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
16.0,6046.780999999999,2258.1850000000004,4726.23,779.7059999999999,519.288,1796.2289999999998,6644.538999999999,1048.445,3128.955,1515.768,2649.676,3906.260999999999,4625.666999999999,1221.413,2198.7000000000003,5518.684999999999,1316.391,1342.3290000000002,857.535,4634.5160000000005,2317.678,1716.6540000000002,447.59,609.308,1878.532,2200.1749999999997,6392.367999999999,2059.5099999999993,992.053,1725.6169999999997,2163.9199999999996,2331.0079999999994,1002.9810000000001,4452.104,1703.05,3460.45,1222.9759999999999,2132.8729999999996,2066.335,806.011,5836.904,2743.287,4414.411999999999,3364.4519999999998,2881.218,3517.531,324.18,4462.561,2065.0609999999997,6752.905,5745.420999999999,3881.807999999999,6779.913,6885.831999999998,2415.8599999999997,2351.6669999999995,2033.9779999999996,1317.6260000000002,3304.8120000000004,599.345,2083.434,3541.5419999999995,3118.4430000000007,1014.751,2039.5910000000001,959.2020000000001,6028.169,3772.6619999999994,1599.077,3353.3739999999993
17.0,4864.649,3206.7369999999996,3390.4769999999994,2248.9089999999997,1938.27,3105.6110000000003,5557.63,2448.01,2487.9970000000003,404.21899999999994,1240.7060000000001,2497.291,3216.6969999999997,808.876,1016.568,4431.776,2073.1279999999997,2852.9129999999996,2202.2879999999996,3993.558,3828.262,280.363,1384.033,1250.752,1681.8460000000002,1559.2169999999999,4983.398,3528.7130000000006,1173.332,2280.661,2377.581,3800.211,2449.622,3269.972,742.913,2278.3179999999998,1002.886,723.903,980.9169999999999,1486.585,5195.946,4212.49,3232.2799999999993,2836.839,4260.531,2430.622,1820.7199999999998,3830.463,3374.4429999999993,5343.935000000001,5210.861,2699.676,5597.781,5938.273999999999,3885.063,3820.8700000000003,2610.6820000000002,2585.55,2777.199,2068.548,3573.154,3138.3849999999998,2477.4849999999997,960.2939999999999,3550.1749999999993,2358.767,5081.232,3245.049000000001,2121.989,2171.2419999999997
18.0,2739.9060000000004,5107.6759999999995,1216.742,5130.404,4431.706999999999,6576.595999999999,2161.23,5816.2170000000015,1847.1349999999998,3734.9679999999994,2851.4629999999997,1599.002,876.0419999999999,4139.625,4096.864,1035.376,4288.1179999999995,5367.729,4514.798,788.0459999999999,6248.881000000002,3652.7000000000003,4549.062999999998,4353.969999999999,3691.7069999999994,2911.6430000000005,2539.7709999999997,6818.148,4585.8369999999995,4495.650999999999,4592.570999999999,6850.3150000000005,4664.612,3091.005,3718.2989999999995,2834.403,4066.456,3368.1029999999996,4309.817999999999,4899.089999999999,1338.7649999999999,7501.925000000003,1860.861,2654.171,6159.339999999999,1602.6139999999996,4856.174,1108.4629999999997,6845.427999999999,2900.3080000000004,1362.657,2921.755,3259.113,2058.973,7174.498,7110.305,4825.671999999999,4800.539999999998,2604.7419999999997,5329.3820000000005,6014.637,3338.6259999999993,1701.1539999999995,4291.043,5767.450000000001,5746.239999999999,1201.3099999999997,2735.3960000000006,4336.978999999999,3016.455999999999
19.0,5407.129000000001,3192.557,4670.1979999999985,1292.9920000000002,1455.607,1705.317,6856.203999999999,1176.367,3786.5710000000004,1707.543,2520.4270000000006,3777.0119999999997,4496.417999999999,1114.8719999999998,1845.6549999999997,5730.349999999998,2252.7099999999996,1896.996,1793.8539999999998,5292.132,2872.3449999999993,1603.2900000000002,1383.9089999999999,1405.0710000000001,2674.2949999999996,2857.791,6195.370000000001,2283.93,751.547,2521.3799999999997,2959.683,2784.8489999999997,1902.0249999999999,3812.452,1914.715,3119.1769999999997,1719.2350000000001,2003.6239999999998,1285.1709999999998,476.83299999999997,6494.5199999999995,2817.4649999999997,4073.1389999999997,4135.4130000000005,3779.665,3729.196,1257.086,5129.037,1974.149,6555.907,6509.434999999999,3540.535,6140.260999999999,7236.847999999999,2662.6040000000003,2805.5079999999994,2904.6229999999996,2253.9449999999997,4075.7730000000006,1112.631,2557.792,4337.304999999999,3776.0590000000007,1084.4180000000001,2594.2579999999994,1087.124,6379.806,4543.6230000000005,2394.84,3012.1009999999997
20.0,8244.563999999998,1167.301,6253.138,2069.1490000000003,2261.486,3052.0769999999998,8171.446999999999,2347.536,4525.418999999999,3520.5879999999993,4508.687999999998,5680.435999999999,6239.120999999999,3510.3520000000003,4396.482999999999,7045.592999999999,1911.5419999999997,1426.684,1939.133,5502.513999999998,1225.2259999999999,3870.5409999999993,2654.942,2769.2320000000004,2597.1159999999995,3430.2629999999995,8454.912999999999,2690.6419999999994,3280.9920000000006,1980.5009999999995,2033.0209999999997,2150.7019999999998,1493.508,6649.886999999998,3399.187,5658.232999999999,3225.8589999999995,4311.3369999999995,4355.273999999999,3094.9500000000003,6709.56,3258.4529999999995,6612.195000000001,3938.2889999999993,1555.342,5044.4389999999985,2212.422,5181.145,3063.8229999999994,8815.449999999999,6464.004999999998,6079.590999999999,8977.695999999998,8139.447999999999,2925.7319999999995,2861.5389999999993,1949.0930000000003,1398.216,4023.396,2165.9910000000004,1421.7859999999998,3104.7129999999997,4634.169999999999,3179.154,603.307,2522.497,7281.784999999998,3802.9150000000004,1877.0020000000002,5551.156999999999
21.0,4622.700000000001,3417.866,3885.7689999999993,2021.5320000000002,1996.9969999999996,2198.4240000000004,6096.128000000001,1904.907,3026.4950000000003,973.823,1735.9979999999996,2992.5829999999996,3711.988999999999,689.071,1061.226,4970.273999999999,2218.2549999999997,2625.536,2261.015,4532.0560000000005,3593.0559999999996,818.861,1442.7599999999998,1309.4789999999998,2220.344,2097.7149999999997,5410.941000000002,2777.0370000000003,777.142,2425.7879999999996,2864.0909999999994,3461.8329999999996,2558.248,3028.023,1312.5170000000003,2334.748,1572.49,1219.195,500.74199999999996,1090.395,5734.444000000001,3310.572,3288.71,3375.337,4436.484999999999,2969.12,1879.4469999999997,4368.961,2467.2560000000003,5771.478000000001,5749.359,2756.1059999999998,5355.831999999999,6476.772,3155.7110000000002,3340.9619999999995,2809.0309999999995,2733.4659999999994,3315.6970000000006,1841.1710000000003,3234.776,3676.8829999999994,3015.983,1019.021,3322.7979999999993,1698.251,5619.73,3783.5470000000005,2299.248,2227.672
22.0,5076.1410000000005,2747.997,2820.3109999999997,2439.013,1757.9769999999999,3455.535999999999,4738.62,2707.752,1302.863,1024.035,976.185,2247.609,2806.2939999999994,1428.1509999999998,1585.9299999999998,3612.7659999999996,1614.388,2693.9989999999993,1841.068,2808.424,3575.151,942.268,1371.373,1209.888,1030.7769999999998,374.08299999999997,5022.086,3718.8169999999996,1840.048,1821.9209999999998,1918.8409999999997,3990.314999999999,1990.882,3481.4640000000004,540.6089999999999,2489.81,888.766,857.1689999999999,1751.2519999999997,2032.0569999999998,4010.8119999999985,4402.593999999999,3365.8279999999995,1651.705,3801.7909999999997,1611.6119999999996,1894.719,2645.329,3724.367999999999,5382.6230000000005,4025.726999999998,2882.312,5741.428000000001,5059.74,4075.1669999999995,4010.9739999999993,2151.9419999999996,2126.81,1592.065,2258.6519999999996,3340.9069999999997,1953.251,1292.3509999999999,1488.8729999999998,3093.72,2618.5090000000005,4202.076999999999,2059.915,1663.2489999999998,2382.7339999999995
23.0,7750.678999999998,1837.5819999999999,5858.608,1422.164,1866.956,2376.231,7776.916999999999,1700.5510000000004,4130.889,3126.058,4114.158,5285.905999999999,5844.590999999999,2925.3110000000006,3902.597999999999,6651.062999999998,1695.0189999999998,779.699,1544.6029999999998,5292.396999999998,549.38,3420.5520000000006,2260.4119999999994,2374.7019999999993,2386.999,3035.733,8060.383,2014.7959999999998,2695.9510000000005,2019.095,2367.205,1474.856,1098.978,6156.002,3004.657,5164.348,2831.329,3836.7710000000006,3770.2329999999997,2509.9089999999997,6499.443,2582.6070000000004,6118.310000000002,3872.9190000000003,2039.5980000000002,4649.908999999999,1770.1799999999998,4971.027999999998,2387.9770000000003,8420.92,6253.887999999998,5585.706,8483.810999999996,7744.917999999999,2249.886,2185.6929999999998,2131.6530000000002,1436.81,3813.2790000000005,1519.006,745.94,3743.664999999999,4239.64,2784.6240000000003,306.29699999999997,1875.5120000000002,6887.254999999997,4281.129,1915.5960000000002,5057.272
24.0,3543.7459999999996,6563.798999999999,3280.0549999999994,6789.561999999998,6090.864999999999,8340.984999999997,702.7529999999999,7475.374999999998,3734.434999999999,5798.280999999998,4914.775999999998,3662.314999999999,2939.355,6202.937999999998,6141.573000000001,1511.178,5787.469999999999,6995.559000000001,6014.15,2245.0499999999997,7748.232999999998,5716.013,6287.338,6013.128,5148.710999999998,4534.163999999999,2703.343,8477.305999999997,6649.149999999998,5995.003,6091.922999999997,8349.667,6163.963999999999,5129.117,5456.574,4876.302,5804.731,5431.415999999998,6354.526999999999,6948.021999999999,1041.023,9161.083000000002,3902.422,4110.293999999999,7615.462999999998,3665.926999999999,6515.332,2565.467,8582.328999999998,3063.88,2333.869,4963.465999999999,3492.5409999999997,483.36799999999994,8833.655999999999,8769.462999999998,6325.023999999999,6299.891999999999,4061.7459999999996,6988.539999999999,7513.989,4794.749000000001,3587.6339999999996,6354.355999999997,7266.802,7511.306999999999,862.417,4191.518999999999,5836.330999999999,5058.945
25.0,6892.503000000001,1431.979,4901.076999999999,738.251,909.4250000000001,2423.6860000000006,6819.3859999999995,1562.73,3173.358,2168.527,3156.627,4328.374999999999,4887.0599999999995,2158.291,3044.4219999999996,5693.531999999999,737.4879999999999,690.148,587.0719999999999,4334.865999999999,1442.8220000000001,2518.48,1302.8809999999999,1417.171,1429.4679999999998,2078.202,7102.852,2560.0069999999996,1928.931,1237.485,1687.2959999999998,2044.2560000000003,141.447,5297.826,2047.1260000000002,4306.172,1873.798,2959.276,3003.213,1742.889,5541.912000000001,3152.0069999999996,5260.134000000001,2915.388,2019.087,3692.3779999999992,860.3609999999999,4013.4970000000003,2665.0299999999997,7463.389000000001,5296.356999999998,4727.53,7625.634999999999,6787.386999999999,2819.2859999999996,2755.0929999999994,1451.7440000000001,655.1999999999999,2855.748,1075.895,1208.5780000000002,3063.7559999999994,3282.109,1827.0929999999998,1025.253,1598.662,5929.723999999999,3323.598,1130.699,4199.096
26.0,7488.99,1257.367,5497.564,1591.2459999999999,1505.9119999999998,2892.981,7415.873,2040.6170000000002,3769.845,2765.0139999999997,3753.113999999999,4924.862,5483.547,2754.7780000000002,3640.9089999999987,6290.018999999999,1155.9679999999998,1119.765,1183.559,4746.94,1651.833,3114.966999999999,1899.3679999999997,2013.6579999999997,1841.5419999999995,2674.689,7699.338999999999,2893.636,2525.4179999999997,1224.9269999999997,1628.649,2353.6960000000004,737.934,5894.312999999999,2643.613,4902.659,2470.2849999999994,3555.7629999999995,3599.6999999999994,2339.376,5953.986000000001,3461.4469999999997,5856.621,3327.462,1844.4750000000001,4288.864999999999,1456.8479999999997,4425.571000000001,3134.325,8059.876000000001,5708.430999999999,5324.017,8222.121999999998,7383.874,3128.7259999999997,3064.5329999999994,1393.0970000000002,642.642,3267.822,1859.0720000000001,1518.018,3005.108999999999,3878.595999999999,2423.5800000000004,796.1560000000002,2215.578,6526.210999999998,3703.3110000000006,1121.428,4795.583
27.0,7055.177000000001,985.6079999999998,5063.750999999999,1157.433,1072.099,2842.868,6982.0599999999995,1981.9120000000003,3336.0319999999997,2331.201,3319.301,4491.049,5049.7339999999995,2320.9650000000006,3207.0959999999995,5856.205999999999,722.155,1135.716,749.7459999999999,4313.1269999999995,1791.944,2681.1539999999995,1465.555,1579.8449999999998,1407.729,2240.876,7265.526,2979.189,2091.605,791.1139999999999,1240.9250000000002,2489.8239999999996,304.121,5460.5,2209.8,4468.846,2036.4720000000002,3121.9499999999994,3165.8869999999993,1905.5629999999999,5520.173000000001,3597.5749999999985,5422.808,2893.6489999999994,1572.7160000000001,3855.0519999999988,1023.0349999999999,3991.7580000000007,3084.212,7626.063000000001,5274.6179999999995,4890.204,7788.308999999998,6950.061,3264.8539999999994,3200.660999999999,1005.373,208.829,2834.0090000000005,1495.0770000000002,1654.1460000000002,2617.3849999999993,3444.783,1989.7669999999996,936.267,2017.8440000000003,6092.397999999999,3301.859,687.615,4361.7699999999995
